,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
91,2004-04-28,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.72885295,10:02:04.382,0.0247347587430965,0.0127335729330917,0.0785233464558875,0.1766315301029655
92,2004-05-05,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.7185054,10:02:05.086,0.0488972738826445,0.0184993185744153,0.1382279274137826,0.2452746884155309
93,2004-05-12,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.74230726,10:02:06.182,0.0689434919532385,0.0253137634586637,0.2298676159496228,0.333677939738301
94,2004-05-19,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.75444368,10:02:07.096,0.1354749613688426,0.0385439952746655,0.1761690280433996,0.4031795350545261
95,2004-05-26,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.75885488,10:02:08.386,0.0984458971676627,0.0014321205186978,0.1836974314059095,0.4417906375886973
96,2004-06-02,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.75828352,10:02:09.316,0.0686035002379642,0.0002068628072907,0.1948592124839853,0.3405971446558093
97,2004-06-09,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.76708376,10:02:10.130,0.0405878403253109,0.032897379657995,0.2144293146165159,0.3794872846672049
98,2004-06-16,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.80766447,10:02:10.668,0.039769149152534,0.0463091267886795,0.265651533083884,0.4235727727830747
99,2004-06-23,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.80855185,10:02:11.485,-0.0526018646229387,-0.013715548299916,0.2231148005817852,0.304380747778357
100,2004-06-30,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.87387387,10:02:12.125,-0.0709656001745759,0.0039427590433607,0.2169552471070376,0.3228738642114598
101,2004-07-07,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.87037895,10:02:12.876,-0.097279576841546,0.005512370741129,0.1616647676654809,0.3866945002022938
103,2004-03-24,,NWN,,,0.86752443,,-0.0144460586179244,-0.0191785307236246,0.0250541668138243,0.1822522078668534
104,2004-03-31,TLPRD7-R,NWN,Utilities,MERGED,0.6868611,10:02:00.822,-0.0491605240737365,-0.0135848205307897,0.0374686394551095,0.2064877885205452
105,2004-04-07,TLPRD7-R,NWN,Utilities,MERGED,0.68630242,10:02:01.467,-0.0779445826733902,-0.0100267792090478,0.0306018163330568,0.203152750285053
106,2004-04-14,TLPRD7-R,NWN,Utilities,MERGED,0.4687604,10:02:02.719,-0.0396412769722959,0.0446660602347757,0.0709204769772464,0.2362654934066002
